Country or region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Total CO2 Emissions,Country Code,Schizophrenia Disorders (% of population),Depressive Disorders (% of population),Anxiety Disorders (% of population),Bipolar Disorders (% of population),Eating Disorders (% of population),Coal,Oil,Gas,Cement,Flaring,Per Capita,Income Group,Continent,Mental Health Burden,Social Resilience,Happiness Efficiency,Sustainable Happiness Index,Inequality and Pressure Index,Resilient Happiness,Happiness Level,Happiness-Income Group,Log CO2 Emissions
Namibia,4.639,4731.9210318831,1.313,0.477,0.401,0.07,0.056,4.107047,NAM,0.22256449,3.6164615,3.49189,0.5531963,0.16063276,0.051296,3.53576,0.0,0.519991,0.0,1.678645,Lower-Middle Income,Africa,8.04474505,1.784,0.0009803629369008887,0.38175439317199317,0.6575680462476281,0.3232341493370204,Unhappy,Unhappy & Lower-Middle Income,1.6306213506777898
Nepal,4.913,1203.14294706401,1.226,0.677,0.439,0.285,0.089,13.42833,NPL,0.26699284,4.8975983,3.2773163,0.38390607,0.10316985,3.42584,6.239792,0.0,3.762698,0.0,0.465736,Low Income,Asia,8.928983360000002,1.95,0.004083471554223072,0.21974912284362239,0.6685824248187281,0.28216954583810305,Unhappy,Unhappy & Low Income,2.669193634972686
Netherlands,7.488,53554.9007491475,1.522,0.999,0.557,0.322,0.298,153.032807,NLD,0.36796945,3.5344012,6.7548013,0.78764594,0.38367063,25.30793,52.999956,72.47401,0.006337,1.062042,8.813598,High Income,Europe,11.828488519999999,2.4010000000000002,0.00013981913690913145,0.04541999974209593,0.7440783605835105,0.2636601063752029,Happy,Happy & High Income,5.037165612192967
New Zealand,7.307,42747.2099299966,1.557,1.026,0.585,0.33,0.38,37.121034,NZL,0.3886144,3.7238638,7.263469,1.5064018,0.6033723,5.985768,20.911832,8.240141,0.41094,0.912907,7.485537,High Income,Oceania,13.485721299999998,2.472,0.00017093513265464672,0.144387838277393,0.7961838610141545,0.21918784194860338,Happy,Happy & High Income,3.640766203286964
Nicaragua,6.105,1958.62132892996,1.325,0.835,0.435,0.2,0.127,5.219314,NIC,0.27072757,3.2548654,4.3657975,0.8515433,0.16589764,0.0,4.986704,0.0,0.23261,0.0,0.783219,Low Income,North America,8.908831410000001,1.96,0.003116988419264944,0.4321161640705395,0.699213311323286,0.34963013385471026,Neutral,Neutral & Low Income,1.8276596112796986
Niger,4.628,561.691304349698,0.774,0.366,0.318,0.188,0.102,2.468624,NER,0.20768712,4.235215,2.9678462,0.54284483,0.078765206,0.326592,1.985241,0.0,0.100748,0.056043,0.105301,Low Income,Africa,8.032358356,1.28,0.008239401187380138,0.4407206719431993,0.8026952909448323,0.450132431815521,Unhappy,Unhappy & Low Income,1.2437579735285391
Nigeria,5.265,2265.15520863056,1.111,0.245,0.426,0.215,0.041,127.304175,NGA,0.22260755,3.8173978,2.9917774,0.5542446,0.12942946,0.14656,68.707328,35.104784,8.757343,14.588161,0.626175,Lower-Middle Income,Africa,7.71545681,1.752,0.0023243440360905996,0.03899432941284363,0.6746072318998524,0.3894956656884416,Unhappy,Unhappy & Lower-Middle Income,4.854403812011866
North Macedonia,5.274,6718.85826635458,1.294,0.838,0.345,0.185,0.034,7.994848,MKD,0.28765607,2.570906,3.5915322,0.5418609,0.14246428,4.04872,3.092416,0.501968,0.351744,0.0,3.781543,Upper-Middle Income,Europe,7.134419449999999,1.824,0.0007849547930502023,0.3485958601386216,0.6912517616610194,0.4052813811530317,Unhappy,Unhappy & Upper-Middle Income,2.1966519689828985
Norway,7.554,76430.5889473338,1.582,1.028,0.603,0.271,0.341,42.784,NOR,0.28272113,3.2382026,6.7358413,0.8286233,0.47473136,3.5468,21.9492,15.047,0.722,0.957,8.000156,High Income,Europe,11.56011969,2.456,9.88347741923754e-05,0.13900307969088385,0.7387110257874298,0.26606410500087146,Happy,Happy & High Income,3.779268453841617
Pakistan,5.653,1390.41690981745,0.886,0.535,0.313,0.22,0.098,206.061232,PAK,0.27888608,3.9425256,3.474194,0.38789725,0.12147353,50.30672,64.878448,74.976432,15.436983,0.462649,0.922828,Low Income,Asia,8.20497646,1.419,0.00406568703249027,0.026383068243144472,0.9391021307689155,0.48553355659426883,Neutral,Neutral & Low Income,5.333014556286459
Palestinian Territories,4.696,3656.85827137011,1.247,0.672,0.225,0.103,0.066,3.265395,PSE,0.24819995,6.1989517,5.5458045,0.7907242,0.15811732,0.0,3.264624,0.0,0.0,0.000771,0.66508,Lower-Middle Income,Asia,12.941797670000001,1.5750000000000002,0.0012841624289257883,0.2897478974685379,0.8454319991280186,0.23038432353944385,Unhappy,Unhappy & Lower-Middle Income,1.4505347909576645
Panama,6.321,16477.9066285687,1.442,0.91,0.516,0.109,0.054,13.419543,PAN,0.28811285,2.9369144,3.6566825,0.8495454,0.28251824,2.3816,8.910848,1.5572,0.569895,0.0,3.170571,Upper-Middle Income,North America,8.01377339,2.067,0.0003836045525977745,0.2949146965865323,0.5393007305401792,0.38159990351246686,Neutral,Neutral & Upper-Middle Income,2.6685844392602847
Paraguay,5.743,5821.18199548637,1.475,0.777,0.514,0.184,0.08,8.244362,PRY,0.2778201,3.6945765,6.304892,1.0898001,0.21759573,0.003666,7.837047,0.0,0.40365,0.0,1.262531,Lower-Middle Income,South America,11.58468443,2.173,0.0009865693950907237,0.28962562674275816,0.5694063608465385,0.22813655648329118,Neutral,Neutral & Lower-Middle Income,2.224013852181945
Peru,5.697,7037.00803692604,1.274,0.854,0.455,0.083,0.027,57.679873,PER,0.27953792,2.2116694,5.551791,0.91938907,0.29595372,2.572128,34.77136,15.678256,4.546156,0.111973,1.757201,Upper-Middle Income,South America,9.258341109999998,1.812,0.0008095770205328069,0.08510833573537058,0.5815123117323083,0.33958996517242585,Neutral,Neutral & Upper-Middle Income,4.072096788991594
